asset,type,ann_vol,n_obs
bitcoin-cash_usd,crypto,0.7389081804466826,366
the-open-network_usd,crypto,0.738785018329729,366
bitget-token_usd,crypto,0.7140714743700556,366
global-dollar_usd,crypto,0.7121545678797807,366
monero_usd,crypto,0.6330318356594091,366
TSLA,stock,0.6173768753124353,999
NVDA,stock,0.5356665808163096,999
binancecoin_usd,crypto,0.5235993534675109,366
wbnb_usd,crypto,0.5181897109105187,366
whitebit_usd,crypto,0.5176524120071744,353
gatechain-token_usd,crypto,0.51199509146127,366
INTC,stock,0.4944898629001426,999
htx-dao_usd,crypto,0.4932547607215141,366
kucoin-shares_usd,crypto,0.4883812964900098,366
NFLX,stock,0.47617028174785997,999
META,stock,0.46878819948540534,999
leo-token_usd,crypto,0.44398759322601966,366
PYPL,stock,0.4372313470445478,999
ignition-fbtc_usd,crypto,0.4346597784830913,366
lombard-staked-btc_usd,crypto,0.42704021126582314,366
bitcoin_usd,crypto,0.42084965933092044,366
coinbase-wrapped-btc_usd,crypto,0.4196986873706944,366
wrapped-bitcoin_usd,crypto,0.41744313914072,366
solv-btc_usd,crypto,0.4155672823854006,366
jupiter-perpetuals-liquidity-provider-token_usd,crypto,0.41430204684392924,366
ORCL,stock,0.3990307052404933,999
tron_usd,crypto,0.39245004778464815,366
AMZN,stock,0.3742573182577895,999
CRM,stock,0.3716809811756302,999
ADBE,stock,0.37072415484504784,999
GOOGL,stock,0.32694523776456164,999
AAPL,stock,0.2845495127190353,999
MSFT,stock,0.2678834633552169,999
IBM,stock,0.23948319963204165,999
CSCO,stock,0.23561717732565868,999
pax-gold_usd,crypto,0.19850983423368512,366
tether-gold_usd,crypto,0.18887111393333791,366
hashnote-usyc_usd,crypto,0.10254597709917453,323
falcon-finance_usd,crypto,0.09522204531208238,307
susds_usd,crypto,0.09434585609672834,366
usd1-wlfi_usd,crypto,0.03020250378650163,260
ripple-usd_usd,crypto,0.029760924125730157,366
binance-bridged-usdt-bnb-smart-chain_usd,crypto,0.028696756589147488,366
binance-bridged-usdc-bnb-smart-chain_usd,crypto,0.028136597850043264,366
usdt0_usd,crypto,0.025704143580355856,338
syrupusdc_usd,crypto,0.022351426875484214,300
ethena-staked-usde_usd,crypto,0.021655840531033938,366
ethena-usde_usd,crypto,0.01643121093943141,366
usds_usd,crypto,0.01577997459712137,366
dai_usd,crypto,0.010489812392528832,366
paypal-usd_usd,crypto,0.010393171312777248,366
tether_usd,crypto,0.005714122425384745,366
bfusd_usd,crypto,0.005231112757111345,135
janus-henderson-anemoy-aaa-clo-fund_usd,crypto,0.00405120681147308,44
usd-coin_usd,crypto,0.0025614557894518435,366
blackrock-usd-institutional-digital-liquidity-fund_usd,crypto,0.0,318
